Date,Time,Title,Address,City,State,zipcode,Terms
"Dec 12, 2017",10:00 AM EDT,"Plymouth, MA - Single Family Home",397 Sandwich Street,Plymouth,MA,0,"b' A deposit of $7,500 by cash or bank check will be required at the time & place of sale & balance within 30 days.  All other terms announced at sale. Neil S. Cohen, Esq., Newton, MA. Attorney for the Mortgagee.'"
"Dec 12, 2017",11:00 AM EDT,"Kingston, MA - Single Family Home",127 Summer Street,Kingston,MA,0,"b' A deposit of $7,500 by cash or bank check will be required at the time & place of sale & balance within 30 days.  All other terms announced at sale. Neil S. Cohen, Esq., Newton, MA. Attorney for the Mortgagee.'"
Auction is Cancelled,Auction is Cancelled,"Haverhill, MA-Single Family Home and Horse Farm",323 East Broadway,Haverhill,MA,0,"b"" A deposit of $15,000 by certified or bank cashier's check will be required at the time & place of sale & balance within 30 days.  All other terms announced at sale. F. Robert Allison, Esq, Salem, MA, Attorney for Mortgagee."""
"Dec 14, 2017",1:00 PM EDT,"Lowell, MA - Real Estate",38 Staveley Street,Lowell,MA,0,"b' A deposit of $5,000 by cash or bank check will be required at the time & place of sale & balance within 30 days. All other terms announced at sale. Kline & Sanders, LLP., Newton, MA. Attorney for the Mortgagee.'"
"Dec 18, 2017",10:00 AM EDT,"Tewksbury, MA - Warehouse/Industrial",50 Kittredge Ave,Tewksbury,MA,0,"b' A deposit of $10,000 by cash or bank check will be required at the time & place of sale & balance within 30 days.  All other terms announced at sale. Neil S. Cohen, Esq., Newton, MA. Attorney for the Mortgagee.'"
"Dec 19, 2017",11:00 AM EDT,"Auburn, MA - Condominium","101 Heritage Lane,  Unit 101",Auburn,MA,0,"b"" A deposit of $5,000 by cash, certified check or bank treasurer's or cashier's check will be required at the time & place of sale & balance within 30 days. All other terms announced at sale. Erik Shaughnessy, Mirrione, Shaughnessy & Uitti, LLC, West Bridgewater, MA. Atty for Condominium Trust"""
"Dec 20, 2017",2:00 PM EDT,"Shrewsbury, MA - Waterfront Single Family Home - 1.5% BROKER COMMISSION",22 Oakland Avenue,Shrewsbury,MA,0,"b' : A deposit of $10,000 by certified or bank check will be required at the time & place of sale & balance in 30 days. All other terms announced at sale.'"
"Jan 3, 2018",11:00 AM EDT,"Cumberland, RI-Condo","200 Heroux Blvd,  Unit #807",Cumberland,RI,0,"b' A deposit of $5,000 by cash, certified or bank check will be required at the time & place of sale & balance within 45 days. All other terms announced at sale. Mark S. Einhorn, Esq., Marcus, Errico, Emmer & Brooks, P.C., Braintree, MA, Atty for the Condominium Association.'"
"Jan 3, 2018",1:00 PM EDT,"Lincoln, RI-Condo","2 School Street,  Unit 430",Lincoln,RI,0,"b""  A deposit of $5,000 by certified bank, treasurer's or cashier's check is required at the time & place of sale & balance within 30 days.  All other terms will be announced at sale if any. Marcus, Errico, Emmer & Brooks, Braintree, MA"""
"Jan 5, 2018",9:00 AM EST,"Westwood, MA-Single Family Home",250 Blue Hill Dr,Westwood,MA,0,"b'A deposit of $7,500 by certified or bank check will be required at the time & place of sale & balance within 30 days.  All other terms announced at sale. Neil Cohen, Esq., Barsh & Cohen, Newton, MA'"
