Status,Day,Date,Time,Address,City,State,Deposit
(POSTPONED TO 1-8-18 @ 3:00 PM),Monday, December 04,10:00 AM,96 Bridge Street,HATFIELD,MA,"$5,000 "
,Monday, December 04,10:00 AM,43 Proctor Street,HOPKINTON,MA,"$5,000 "
THE SALE IS CANCELLED,Monday, December 04,11:00 AM,19 Valleywood Road,HOPKINTON,MA,"$5,000 "
,Monday, December 04,11:00 AM,245-247 Suffolk Street,HOLYOKE,MA,"$5,000 "
,Monday, December 04,12:00 PM,121 Lincoln Street,WEST SPRINGFIELD,MA,"$5,000 "
THE SALE IS CANCELLED,Monday, December 04,12:00 PM,23 Nixon Road,FRAMINGHAM,MA,"$5,000 "
,Monday, December 04, 1:00 PM,120 Barton Road,STOW,MA,"$5,000 "
,Monday, December 04, 1:00 PM,20-24 Ashley Street a/k/a 24 Ashley Street,SPRINGFIELD,MA,"$5,000 "
,Monday, December 04, 2:00 PM,12 Bolton Road,CLINTON,MA,"$5,000 "
,Monday, December 04, 2:00 PM,22 Pasadena Street,SPRINGFIELD,MA,"$5,000 "
,Monday, December 04, 3:00 PM,145 Boylston Street,SHREWSBURY,MA,"$5,000 "
,Monday, December 04, 3:00 PM,630 Parker Street,EAST LONGMEADOW,MA,"$5,000 "
,Monday, December 04, 4:00 PM,103 Princeton Street,JEFFERSON (Holden),MA,"$5,000 "
,Tuesday, December 05,10:00 AM,857 Temple Street,WHITMAN,MA,"$5,000 "
(Continued from 10-20-17),Tuesday, December 05,11:00 AM,6 Glendale Street,RANDOLPH,MA,"$5,000 "
(Continued from 10-19-17),Tuesday, December 05,11:00 AM,69 Prescott Lane,ORANGE,MA,"$5,000 "
,Tuesday, December 05,12:00 PM,86 Jackson Avenue,WINCHENDON,MA,"$5,000 "
(POSTPONED TO 2-5-18 @ 11:00 AM),Tuesday, December 05,12:00 PM,31-33 Tremont Street,BRAINTREE,MA,"$5,000 "
,Tuesday, December 05, 1:00 PM,"37 Skyline Drive, Unit #37-11 a/k/a Unit #11, (The Skyline Heights Condominium)",BRAINTREE,MA,"$5,000 "
,Tuesday, December 05, 1:00 PM,62 Willard Road,WESTMINSTER,MA,"$5,000 "
,Tuesday, December 05, 2:00 PM,53 Stewart Street,QUINCY,MA,"$5,000 "
,Tuesday, December 05, 2:00 PM,23 Congress Street,FITCHBURG,MA,"$5,000 "
,Tuesday, December 05, 3:00 PM,31 Skyview Drive,FITCHBURG,MA,"$5,000 "
,Tuesday, December 05, 3:00 PM,3 Lincoln Street,HULL,MA,"$5,000 "
,Wednesday, December 06,11:00 AM,3 Holly Ridge Drive,SANDWICH,MA,"$5,000 "
,Wednesday, December 06,11:00 AM,51 Knollwood Road,BRIMFIELD,MA,"$5,000 "
,Wednesday, December 06,11:00 AM,46 Old College Road,SALISBURY,NH,"$5,000 "
(POSTPONED TO 1-11-18 @ 12:00 PM),Wednesday, December 06,12:00 PM,"28 Southbridge Road, Unit #103, (The Cady Brook Crossing Condominium)",CHARLTON,MA,"$5,000 "
,Wednesday, December 06, 1:00 PM,40 Brandon Road,DUDLEY,MA,"$5,000 "
,Wednesday, December 06, 2:00 PM,24 Chestnut Hill Road,NORTH OXFORD (Oxford),MA,"$5,000 "
(Continued from 11-1-17),Wednesday, December 06, 3:00 PM,237 Cordaville Road,SOUTHBOROUGH,MA,"$5,000 "
THE SALE IS CANCELLED,Wednesday, December 06, 4:00 PM,82 Sargent Street,CHERRY VALLEY (Leicester),MA,"$5,000 "
(Continued from 10-18-17),Thursday, December 07,11:00 AM,42A Waverly Street,LYNN,MA,"$5,000 "
,Thursday, December 07,12:00 PM,292 Orchard Street,RAYNHAM,MA,"$5,000 "
(Continued from 11-2-17),Thursday, December 07,12:00 PM,"19 Lions Lane, Unit #2006, Bldg. 20, (The Highland Condominium at Salem)",SALEM,MA,"$5,000 "
,Thursday, December 07, 1:00 PM,"7 Raintree Lane a/k/a 770 East Ashland Street, Unit #6F, (The Boulders Condominium)",BROCKTON,MA,"$5,000 "
,Thursday, December 07, 2:00 PM,21 Cedar Circle,RANDOLPH,MA,"$5,000 "
,Thursday, December 07, 3:00 PM,165 Wethersfield Road a/k/a Street,ROWLEY,MA,"$5,000 "
